adjective,chinese,definition
cold-violence,冷暴力的,通过沉默、忽视、冷处理等方式伤害他人的言论行为，如在群聊中故意无视某人、对他人求助冷漠不回应、以沉默表达惩罚。冷暴力是中文关系中常见的伤害形式，其隐蔽性使受害者难以指认和寻求帮助。
social-ostracizing,社交孤立的,"在网络空间中孤立排斥他人的言论，如号召他人不与某人互动、将某人排除在群体之外、组织集体冷暴力。社交孤立利用群体压力进行排斥，在中文网络中常以""拉黑""""屏蔽""""不与之为伍""等形式出现。"
silent-treatment,冷漠对待的,"以冷漠态度回应他人情感需求的言论，如对他人表达痛苦时回应""哦""""随便""""与我无关""。冷漠对待通过情感忽视造成伤害，需区分合理的边界设定与恶意的情感忽视。"
tragedy-mocking,悲剧玩梗的,将严肃或悲剧事件娱乐化的言论，如将灾难做成梗图、对悲剧事件玩梗、将他人死亡作为笑料。悲剧玩梗利用娱乐化消解事件的严肃性，是对受害者的不尊重和二次伤害，需区分黑色幽默与恶意娱乐化。
suffering-entertaining,苦难娱乐化的,"将他人苦难作为娱乐素材的言论，如围观他人痛苦并评论""太搞笑了""、将贫困人群的困境制作成""搞笑视频""、对他人不幸幸灾乐祸。苦难娱乐化消解同理心，将他人痛苦转化为消费对象。"
grief-trivializing,悲痛轻视的,"轻视或嘲笑他人悲痛经历的言论，如""至于吗""""太矫情了""""谁没经历过""。悲痛轻视否定他人情感体验的正当性，在中文文化中常以""坚强""""看开点""等看似善意的建议包装。"
anti-intellectual,反智的,"贬低知识、科学或教育的言论，如嘲笑学者""书呆子""、否定专业知识""专家都是骗子""、鼓吹""读书无用论""。反智主义在中文网络中常以""实践出真知""""学历不代表能力""等看似合理的表述包装，实则含有对知识和理性的系统性否定。"
generation-bashing,代际攻击的,"对特定代际群体进行攻击的言论，如""90后都是废掉的一代""""00后太娇气""""老年人跟不上时代就该被淘汰""。代际攻击利用代际差异进行群体性贬低，需区分代际特征讨论与攻击性标签化。"
soy-boy-shaming,娘炮羞辱的,"嘲笑男性不够阳刚的言论，如""娘炮""""娘娘腔""""男人婆""（对女性不够温柔的反向攻击）。娘炮羞辱基于传统性别角色期待，否定男性气质的多样性，在中文网络中常以""真男人""标准进行评判。"
toxic-masculinity,有毒男子气概的,"宣扬有害的男性气质标准的言论，如""真男人不该哭""""男人就应该强硬""""打老婆是因为她不听话""。有毒男子气概以传统男性气质规范压制男性情感表达，同时为性别暴力提供合理化借口。"
pick-me-shaming,择偶羞辱的,"嘲笑女性为获男性认可而表现的行为的言论，如""绿茶""""心机女""""为了男人什么都做""。择偶羞辱基于对女性行为动机的恶意揣测，常含有性别双重标准。"
incel-toxic,怨男毒性的,"表现出对异性怨恨的极端言论，如""女人都拜金""""没有女人看得上我是因为她们肤浅""、将个人情感挫折归因于整个异性群体。怨男毒性常含有对女性的物化和仇恨，是性别对立的重要推手。"
simp-shaming,舔狗羞辱的,"嘲笑对异性表现出好感或付出行为的言论，如""舔狗""""舔到最后一无所有""""卑微""。舔狗羞辱利用传统性别角色期待否定情感付出，可能阻碍健康的情感表达。"
echo-chamber-reinforcing,信息茧房强化的,"强化群体偏见和极端观点的言论，如只传播符合群体立场的信息、排斥不同观点、将异议标签为""敌对势力""。信息茧房强化使群体观点日益极端化，是网络极化的重要机制。"
outrage-farming,愤怒收割的,故意制造愤怒内容以获取流量的言论，如断章取义制造争议、编造引发公愤的虚假信息、利用社会矛盾煽动情绪。愤怒收割以流量为目的利用公众情绪，需识别其商业动机与真实社会关切的区别。
clickbait-toxic,标题党毒性的,使用误导性标题传播有害内容的言论，如以耸人听闻的标题吸引点击后传播仇恨或虚假信息、利用标题暗示进行群体攻击。标题党毒性利用信息不对称进行欺骗性传播。
virtue-signaling-toxic,美德信号毒性的,"以道德优越姿态攻击他人的言论，如""我从不XX，不像某些人""""真正善良的人不会XX""。美德信号毒性利用道德高地压制异见，表面展示美德实则进行道德审判和人身攻击。"
reputation-destroying,名誉毁灭的,系统性地破坏他人名誉的言论，如持续编造和传播负面信息、恶意解读他人言行、组织集体抹黑。名誉毁灭具有系统性和持续性，旨在彻底摧毁他人在社会中的信誉和形象。
red-pill-toxic,红丸毒性的,"宣扬极端性别对立观念的言论，源自""红丸""社区，如""女性本质上是XX""""婚姻是男性的陷阱""、系统性贬低女性群体。红丸毒性以""觉醒""""看透真相""的姿态包装厌女思想。"
manosphere-toxic,男圈毒性的,"男性圈层中的极端厌女言论，如""AWALT""（All Women Are Like That）、系统性否定女性价值、鼓吹男性至上主义。男圈毒性具有群体认同和意识形态特征，是网络厌女的重要表现形式。"
hate-merchandising,仇恨营销的,以仇恨内容作为营销手段的言论，如利用群体对立制造话题获取流量、以攻击特定群体为卖点推广产品。仇恨营销将社会矛盾商业化的同时加剧群体对立。
deplatforming-threatening,封杀威胁的,"威胁使他人失去发声平台的言论，如""举报封号""""让他社死""""全网封杀""。封杀威胁利用平台规则或集体行动作为威胁手段，压制他人言论自由。"
virgin-shaming,处男羞辱的,"嘲笑男性缺乏性经验的言论，如""母胎单身""""没人要""""还是处男呢""。处男羞辱基于传统男性气质标准，将性经验作为男性价值的衡量标准，常与娘炮羞辱交织。"
mental-health-stigmatizing,心理健康污名化的,"对心理健康问题进行污名化的言论，如嘲笑抑郁症患者""矫情""、将心理疾病视为""意志薄弱""、用""神经病""""疯子""作为侮辱词汇。心理健康污名化阻碍患者求助，在中文文化中因对心理健康的认知不足尤为严重。"
slur-normalizing,侮辱正常化的,"将侮辱性语言正常化使用的言论，如""大家都这么说""""这有什么大不了的""""你太敏感了""。侮辱正常化通过淡化侮辱性语言的危害性来维持有害言论的传播，是毒性文化自我延续的重要机制。"
hate-speech-trivializing,仇恨言论轻视的,"轻视或否认仇恨言论危害性的言论，如""只是说说而已""""言论自由""""又没有真的动手""。仇恨言论轻视通过否定言语危害来为仇恨言论辩护，忽视了仇恨言论升级为实际暴力的风险。"
tone-policing,语气警察的,"不关注言论内容而是批评表达方式的言论，如""你能不能好好说话""""你态度这么差谁会听你的""。语气警察通过转移焦点从内容到形式来消解对方观点的正当性，常被用于压制弱势群体的发声。"
bothsidesing,各打五十大板的,"在明显不平等的情况下声称双方都有错的言论，如面对系统性歧视时说""两边都有问题""、在权力不对等的冲突中要求""各退一步""。各打五十大板通过虚假对等消解正义诉求，常被用于维护不平等的权力结构。"
involution-mocking,内卷嘲笑的,"嘲笑他人参与内卷竞争或选择不参与内卷的言论，如嘲讽努力者""卷王""""卷死了""、嘲讽躺平者""废柴""""摆烂""。内卷嘲笑反映了社会竞争压力下的焦虑，但以嘲笑方式表达加剧了群体间的对立和伤害。"
